elementId,publicTitle,primaryPublicQuestion,primaryVisualization,secondaryVisualization,selectableDimensions,yearBehavior,unitBehavior,mapBehavior,listTableBehavior,benchmarkReference,runtimeVerified
B-047,광물 생산량,광물 생산량이 어느 지역에 분포하고 시간에 따라 어떻게 달라졌는가,지역 분포와 지역별 변화,지역 선택 상세와 원자료 표,측정항목 | 세부 분류 | 연도,2024–2025년 비연속 단면·분포 비교,단위별 분리: t (Sn 함량) · t (W 함량) · t (천연) · t REO · 천 t · 천 t (건조) · 천 t (아파타이트) · 천 t (정제) · t · —,데이터 상세 분석만 제공,접힌 원자료 표,Global Forest Watch,true
B-048,주요 광산 위치,주요 광산 위치이 어느 지역에 분포하고 시간에 따라 어떻게 달라졌는가,지역 분포와 지역별 변화,지역 선택 상세와 원자료 표,측정항목 | 세부 분류 | regionName | 연도,2016–2022년 비연속 단면·분포 비교,단위별 분리: 도(decimal degrees) · 개소,point · 2개 feature/scope · 지도 선택 연계,분석 뒤 접힌 개별 목록·원자료 표,Global Forest Watch,true
C-001,국가 온실가스 감축목표(NDC),국가 온실가스 감축목표(NDC)의 핵심 값과 시간 변화는 어떠한가,상태·근거 매트릭스,접힌 원자료 표,측정항목 | 분류 | 세부 분류 | detail_2 | 기간 | 연도,2014–2030년 비연속 단면·분포 비교,단위별 분리: MtCO₂e · — · 년 · % · 백만 USD · URL · % of GDP · 억 USD · 억 USD(2021-2030 누적) · 년월,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
C-002,격년투명성보고서(BTR),격년투명성보고서(BTR)의 핵심 값과 시간 변화는 어떠한가,상태·근거 매트릭스,접힌 원자료 표,측정항목 | 분류 | 세부 분류 | detail_2 | detail_3 | 기간 | 연도,1958–2050년 비연속 단면·분포 비교,단위별 분리: ktCO2e · ktCO₂e · mm/yr · °C/10년 · % · °C · % of GDP/yr · 백만 USD · USD · — · 년 · 년월일 · URL · 배수 · 건,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
C-003,국가적응계획(NAP),국가적응계획(NAP)의 핵심 값과 시간 변화는 어떠한가,상태·근거 매트릭스,접힌 원자료 표,측정항목 | 분류 | 세부 분류 | detail_2 | 기간 | 연도,2020–2050년 비연속 단면·분포 비교,단위별 분리: 등급(정성) · — · 개 지표 · 공포일 · 주기 · 개 · 정성 목표 · 파일 · 개 절/과제군 · 정성 로드맵 · 개 과제 · 억USD(누적) · 억USD/년 · % of GDP · 10억 USD · 건 · 게재일 · 발표일 · 승인일 · 역할,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
C-004,장기 저탄소 발전전략,장기 저탄소 발전전략의 핵심 값과 시간 변화는 어떠한가,상태·근거 매트릭스,접힌 원자료 표,측정항목 | 분류 | 세부 분류 | detail_2 | 기간 | 연도,2022–2050년 비연속 단면·분포 비교,단위별 분리: MtCO2e · MtCO2e(순) · tCO2e/년 이상 · — · 백만 USD · 십억 USD · % · 년 · %(유지) · %(이상) · 십억kWh · URL · 공포일,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
C-005,기후기술 수요 및 우선기술,기후기술 수요 및 우선기술의 핵심 값과 시간 변화는 어떠한가,상태·근거 매트릭스,접힌 원자료 표,측정항목 | 분류 | 세부 분류 | detail_2 | 기간 | 연도,2010–2012년 비연속 단면·분포 비교,단위별 분리: — · 점 · 적용시기·규모 · 개 · 개소 · 등급 · 년(완료) · 코드,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
C-006,파리협정 제6조 양자협력 체계,파리협정 제6조 양자협력 체계의 핵심 값과 시간 변화는 어떠한가,역량 항목별 점수판,접힌 원자료 표,측정항목 | 분류 | 세부 분류 | detail_2 | 기간 | 연도,2023–2026년 비연속 단면·분포 비교,단위별 분리: — · 결정일 · 공포일 · 시행일 · 종료일 · URL · % · tCO₂e · 건 · 체결연도 · 체결일,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
C-007,파리협정 비시장 접근,파리협정 비시장 접근의 규모·금액·연도·분야 분포는 어떠한가,사업·재원 요약 대시보드,필터 가능한 개별 사업 목록,측정항목 | 분류 | 세부 분류 | detail_2 | 연도,2025–2026년 비연속 단면·분포 비교,단위별 분리: 개 · 개국 · 건 · date · — · URL · 회,데이터 상세 분석만 제공,접힌 원자료 표,World Bank Projects / d-portal,true
C-008,국제 기후협력 이니셔티브,국제 기후협력 이니셔티브의 규모·금액·연도·분야 분포는 어떠한가,사업·재원 요약 대시보드,필터 가능한 개별 사업 목록,측정항목 | 분류 | 세부 분류 | detail_2 | 기간 | 연도,1994–2050년 비연속 단면·분포 비교,단위별 분리: 건 · 일자 · — · URL · % · %(2020년 대비) · MtCO₂ · 만 ha · 백만 tCO₂e · 억 USD · 개 · 개국(베트남 포함),데이터 상세 분석만 제공,요약 뒤 필터 가능한 카드·표,World Bank Projects / d-portal,true
C-009,기후변화 법·제도,기후변화 법·제도의 주요 제도 변화는 언제 발생했는가,정책 연표,접힌 원자료 표,측정항목 | 분류 | 세부 분류 | detail_2 | 기간 | 연도,2004–2050년 비연속 단면·분포 비교,단위별 분리: — · 계획 · 업종(3개) · 제도 · 조항 · 6개 부문 · 개소 · %(2030년까지) · %·MtCO₂e · 목표년도 · 일자 · 법령번호 · URL · 구성 · %(2030) · %(2050) · GW(2030 이후) · GW(2030) · MW · MW(2035) · MtCO₂e(2030) · 백만톤CO2e · 개 · 기간 · 기관 · 년,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
C-010,환경 법·제도,환경 법·제도의 주요 제도 변화는 언제 발생했는가,정책 연표,접힌 원자료 표,측정항목 | 분류 | 세부 분류 | detail_2 | 기간 | 연도,2008–2027년 비연속 단면·분포 비교,"단위별 분리: 건 폐지 · 법령번호 · — · 근거조항 · 시행일 · % · VND · 동/kg, 동/20개비 · 부처 · 장/조 · URL · 개 · % 이상 증가 · 개정조항 · 명 · 신설조항 · 영업일",데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
C-011,치안·안전 정보,치안·안전 정보의 핵심 값과 시간 변화는 어떠한가,핵심 점수와 연도별 추이,접힌 원자료 표,측정항목 | 분류 | 세부 분류 | detail_2 | 기간 | 연도,2011–2026년 비연속 단면·분포 비교,단위별 분리: 건/10만명 · 지수 · — · 년월 · 등급 · 등급(1~4) · 전화번호 · 경보색상 · URL · 전화 · 공지일 · OSAC 대미기준 등급 · 위협등급,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
C-012,민관협력·조달 제도,민관협력·조달 제도의 핵심 값과 시간 변화는 어떠한가,상태·근거 매트릭스,접힌 원자료 표,측정항목 | 분류 | 세부 분류 | detail_2 | 기간 | 연도,1994–2026년 비연속 단면·분포 비교,단위별 분리: 문서번호 · 법률 · 시행령번호 · 일자 · — · 기관 · 건 · 백만 USD · 행 · 계약유형 · 종 · 시행일 · 관할 · URL · % · 비율 · 단계 · 방식,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
C-013,외국인 투자제도,외국인 투자제도의 핵심 값과 시간 변화는 어떠한가,상태·근거 매트릭스,접힌 원자료 표,측정항목 | 분류 | 세부 분류 | 기간 | 연도,2020–2026년 비연속 단면·분포 비교,단위별 분리: 점 · 일 · 절차 · 건 · — · 년 · % · 십억 VND(tỷ đồng) · 영업일 · 개 업종 · 개,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
C-014,사업 인허가 절차,사업 인허가 절차의 핵심 값과 시간 변화는 어떠한가,상태·근거 매트릭스,접힌 원자료 표,측정항목 | 분류 | 세부 분류 | 연도,2020–2026년 비연속 단면·분포 비교,"단위별 분리: % (창고가치 대비) · VND · 일 · 절차 · — · 통화 · URL · % (1인당 소득 대비) · 년 · % (재산가치 대비) · 일(온라인, 1일 미만) · /15 · /8 · 백만 VND",데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
C-015,정책·제도 원문자료,정책·제도 원문자료의 핵심 값과 시간 변화는 어떠한가,상태·근거 매트릭스,접힌 원자료 표,측정항목 | 분류 | 세부 분류 | detail_2 | 기간 | 연도,2016–2026년 비연속 단면·분포 비교,단위별 분리: URL · —,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
C-016,재생에너지 발주·확대계획,재생에너지 발주·확대계획이 어느 지역에 분포하고 시간에 따라 어떻게 달라졌는가,지역 분포와 지역별 변화,지역 선택 상세와 원자료 표,측정항목 | 분류 | 세부 분류 | detail_2 | detail_3 | 기간 | 연도,2021–2050년 비연속 단면·분포 비교,단위별 분리: MW · 개 · 7종 · 기관 · % · % (전체 전력량 대비) · 제도 · — · 기간 · 시점,choropleth · 63개 feature/scope · 지도 선택 연계,접힌 원자료 표,Global Forest Watch,true
C-017,재생에너지 투자 인센티브,재생에너지 투자 인센티브의 핵심 값과 시간 변화는 어떠한가,상태·근거 매트릭스,접힌 원자료 표,측정항목 | 분류 | 세부 분류 | detail_2 | detail_3 | 기간 | 연도,2016–2026년 비연속 단면·분포 비교,단위별 분리: — · 건 · % (총발전량 상한) · %(15년) · VND/kWh · đồng/kWh · 년 · 년(최대) · %,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
C-018,중장기 에너지 전망,중장기 에너지 전망의 핵심 값과 시간 변화는 어떠한가,변수·시나리오별 범위와 추이,접힌 원자료 표,측정항목 | 분류 | 세부 분류 | detail_2 | detail_3 | 기간 | 연도,2024–2050년 비연속 단면·분포 비교,단위별 분리: % · — · MW · UScent/kWh · VND/kWh · đồng/kWh · 십억kWh · %/년 · 백만톤CO₂ · 기관,데이터 상세 분석만 제공,접힌 원자료 표,World Bank Climate Change Knowledge Portal,true
C-019,탄소시장 법·제도와 예산,탄소시장 법·제도와 예산의 주요 제도 변화는 언제 발생했는가,정책 연표,접힌 원자료 표,측정항목 | 분류 | 세부 분류 | detail_2 | 기간 | 연도,2019–2029년 비연속 단면·분포 비교,단위별 분리: — · 개사 · USD/tCO₂e · VND/L · đồng/L · đồng/kg · đồng/t · % · MtCO₂e · VND · VND/tCO₂e · tCO₂e · 개 · 기간 · 년월 · 년월일 · VND/kWh · 시행령번호 · 년 · 결정번호 · 법률번호 · URL,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
C-020,온실가스 감축사업 기초정보,온실가스 감축사업 기초정보의 현재 수집 상태는 무엇인가,상태와 향후 수집방향,없음,,0년 단면 비교,텍스트 또는 단위 없음,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
C-021,자발적 탄소시장 사업목록,자발적 탄소시장 사업목록의 현재 수집 상태는 무엇인가,상태와 향후 수집방향,없음,,0년 단면 비교,텍스트 또는 단위 없음,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
C-022,탄소시장 준비도,탄소시장 준비도의 핵심 값과 시간 변화는 어떠한가,역량 항목별 점수판,접힌 원자료 표,측정항목 | 분류 | 세부 분류 | detail_2 | 기간 | 연도,2020–2030년 비연속 단면·분포 비교,단위별 분리: 기간 · — · MtCO₂e · % · URL · %(배분기간별 상쇄의무 대비) · %(익기 배분량 대비) · 백만 đồng · 개 · 점,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
C-023,한계저감비용,한계저감비용의 현재 수집 상태는 무엇인가,상태와 향후 수집방향,없음,,0년 단면 비교,텍스트 또는 단위 없음,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
C-024,산림전용 방지 및 산림보전(REDD+),산림전용 방지 및 산림보전(REDD+)의 핵심 값과 시간 변화는 어떠한가,역량 항목별 점수판,접힌 원자료 표,측정항목 | 분류 | 세부 분류 | 연도,2016–2026년 비연속 단면·분포 비교,단위별 분리: — · MtCO₂e · USD/tCO₂e · 백만 USD · tCO₂e/yr,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
C-025,탄소크레딧 사업 및 발행실적,탄소크레딧 사업 및 발행실적의 규모·금액·연도·분야 분포는 어떠한가,사업·재원 요약 대시보드,필터 가능한 개별 사업 목록,측정항목 | status | technologyField | 연도,2025–2026년 비연속 단면·분포 비교,단위별 분리: tCO₂e · 건 · tCO₂e/년 · tCO₂e/yr · —,point · 18개 feature/scope · 지도 선택 연계,요약 뒤 필터 가능한 카드·표,World Bank Projects / d-portal,true
D-001,단위 사업당 CAPEX,단위 사업당 CAPEX의 핵심 값과 시간 변화는 어떠한가,기술별 비교,접힌 원자료 표,분류 | 세부 분류 | detail_2 | 기술,2024년 단면 비교,USD/kW 단일 축,데이터 상세 분석만 제공,접힌 원자료 표,Our World in Data,true
D-002,시장 성장률,시장 성장률의 핵심 값과 시간 변화는 어떠한가,기술별 비교,접힌 원자료 표,분류 | 기술,2030년 단면 비교,% 단일 축,데이터 상세 분석만 제공,접힌 원자료 표,Our World in Data,true
D-003,예상 감축량,예상 감축량의 핵심 값과 시간 변화는 어떠한가,기술별 비교,접힌 원자료 표,측정항목 | 분류 | 세부 분류 | 기술,2023년 단면 비교,단위별 분리: tCO2/20년·MW · tCO2/년·MW,데이터 상세 분석만 제공,접힌 원자료 표,Our World in Data,true
D-004,크레딧 가격 연동 수익성,크레딧 가격 연동 수익성의 핵심 값과 시간 변화는 어떠한가,기술별 비교,접힌 원자료 표,분류 | 기술,2026년 단면 비교,% 단일 축,데이터 상세 분석만 제공,접힌 원자료 표,Our World in Data,true
D-005,감축/적응 구분별 예산 배분 비율,감축/적응 구분별 예산 배분 비율의 절대량과 구성비가 시간에 따라 어떻게 달라졌는가,연도별 구성 변화,선택연도 구성 상세,분류 | 세부 분류 | 연도,2010–2020년 비연속 단면·분포 비교,% 단일 축,데이터 상세 분석만 제공,접힌 원자료 표,Our World in Data,true
D-006,기후 관련 조세 수입,기후 관련 조세 수입의 핵심 값과 시간 변화는 어떠한가,측정항목별 연도 추이,접힌 원자료 표,측정항목 | 분류 | 세부 분류 | 연도,2014–2026년 전체 추이와 기간 선택,단위별 분리: % · USD/tCO2e · VND · VND/L,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
D-007,"기후예산태깅(CBT, Climate Budget Tagging) 도입 여부 및 수준","기후예산태깅(CBT, Climate Budget Tagging) 도입 여부 및 수준의 주요 제도 변화는 언제 발생했는가",정책 연표,접힌 원자료 표,분류 | 세부 분류 | 연도,2015–2022년 비연속 단면·분포 비교,구분 단일 축,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
D-008,주관 부처별 기후 예산 규모,주관 부처별 기후 예산 규모의 핵심 값과 시간 변화는 어떠한가,측정항목별 연도 추이,접힌 원자료 표,측정항목 | 분류 | 세부 분류 | 연도,2012–2020년 비연속 단면·분포 비교,단위별 분리: % · VND,choropleth · 3개 feature/scope · 지도 선택 연계,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
D-009,기후대응·기후기술 관련 정부 예산,기후대응·기후기술 관련 정부 예산의 핵심 값과 시간 변화는 어떠한가,측정항목별 연도 추이,접힌 원자료 표,측정항목 | 분류 | 세부 분류 | 연도,2013–2020년 비연속 단면·분포 비교,단위별 분리: % · USD · VND,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
D-010,화석연료 보조금 규모,화석연료 보조금 규모의 핵심 값과 시간 변화는 어떠한가,측정항목별 연도 추이,접힌 원자료 표,측정항목 | 분류 | 세부 분류 | 연도,2020–2024년 전체 추이와 기간 선택,단위별 분리: % · USD · USD/L,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
D-011,개도국 내 각국별 ODA 규모,개도국 내 각국별 ODA 규모의 핵심 값과 시간 변화는 어떠한가,기술별 비교,접힌 원자료 표,분류 | 세부 분류 | 연도,2020–2024년 비연속 단면·분포 비교,USD 단일 축,데이터 상세 분석만 제공,접힌 원자료 표,Our World in Data,true
D-012,경쟁국 민간기업의 개도국 진출 현황,경쟁국 민간기업의 개도국 진출 현황의 핵심 값과 시간 변화는 어떠한가,기술별 비교,접힌 원자료 표,측정항목 | capacity | 분류 | 세부 분류 | technologyField,2026년 단면 비교,단위별 분리: MW · 건,데이터 상세 분석만 제공,분석 뒤 접힌 개별 목록·원자료 표,Our World in Data,true
D-013,녹색성장지수,녹색성장지수의 핵심 값과 시간 변화는 어떠한가,핵심 점수와 연도별 추이,접힌 원자료 표,분류 | 세부 분류,2024년 단면 비교,점 단일 축,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
D-014,대외경제협력기금 사업,대외경제협력기금 사업의 규모·금액·연도·분야 분포는 어떠한가,사업·재원 요약 대시보드,필터 가능한 개별 사업 목록,측정항목 | 분류 | 세부 분류 | status,2024년 단면 비교,단위별 분리: USD · 건,데이터 상세 분석만 제공,요약 뒤 필터 가능한 카드·표,World Bank Projects / d-portal,true
D-015,한국 공적개발원조 사업,한국 공적개발원조 사업의 규모·금액·연도·분야 분포는 어떠한가,사업·재원 요약 대시보드,필터 가능한 개별 사업 목록,측정항목 | 분류 | 세부 분류 | status,2024년 단면 비교,단위별 분리: USD · 건,데이터 상세 분석만 제공,요약 뒤 필터 가능한 카드·표,World Bank Projects / d-portal,true
D-016,정부·지방자치단체 협력사업,정부·지방자치단체 협력사업의 규모·금액·연도·분야 분포는 어떠한가,사업·재원 요약 대시보드,필터 가능한 개별 사업 목록,측정항목 | 분류 | 세부 분류 | organizationType | status,2024년 단면 비교,단위별 분리: USD · 건,데이터 상세 분석만 제공,요약 뒤 필터 가능한 카드·표,World Bank Projects / d-portal,true
D-017,한국 ODA 사업기획·입찰,한국 ODA 사업기획·입찰의 규모·금액·연도·분야 분포는 어떠한가,사업·재원 요약 대시보드,필터 가능한 개별 사업 목록,측정항목 | 분류 | 세부 분류 | 부문 | status,2026년 단면 비교,단위별 분리: USD · 건,데이터 상세 분석만 제공,요약 뒤 필터 가능한 카드·표,World Bank Projects / d-portal,true
D-018,적응기금 사업,적응기금 사업의 규모·금액·연도·분야 분포는 어떠한가,사업·재원 요약 대시보드,필터 가능한 개별 사업 목록,측정항목 | 분류 | 세부 분류 | 부문,2026년 단면 비교,단위별 분리: USD · 건,regional-scope · 4개 feature/scope · 지도 선택 연계,요약 뒤 필터 가능한 카드·표,World Bank Projects / d-portal,true
D-019,CTCN 기술지원,CTCN 기술지원의 규모·금액·연도·분야 분포는 어떠한가,사업·재원 요약 대시보드,필터 가능한 개별 사업 목록,측정항목 | 분류 | 세부 분류 | sectors,2025년 단면 비교,단위별 분리: USD · 건,데이터 상세 분석만 제공,요약 뒤 필터 가능한 카드·표,World Bank Projects / d-portal,true
D-020,녹색기후기금 사업,녹색기후기금 사업의 규모·금액·연도·분야 분포는 어떠한가,사업·재원 요약 대시보드,필터 가능한 개별 사업 목록,측정항목 | 세부 분류 | financingType | 부문 | status | targetCountry | targetRegion,2026년 단면 비교,단위별 분리: 건 · USD,데이터 상세 분석만 제공,요약 뒤 필터 가능한 카드·표,World Bank Projects / d-portal,true
D-021,국제기구·개발은행 사업,국제기구·개발은행 사업의 규모·금액·연도·분야 분포는 어떠한가,사업·재원 요약 대시보드,필터 가능한 개별 사업 목록,측정항목 | 분류 | 세부 분류 | status,2026년 단면 비교,단위별 분리: USD · 건,데이터 상세 분석만 제공,요약 뒤 필터 가능한 카드·표,World Bank Projects / d-portal,true
D-022,개발금융·민관협력 투자사업,개발금융·민관협력 투자사업의 규모·금액·연도·분야 분포는 어떠한가,사업·재원 요약 대시보드,필터 가능한 개별 사업 목록,측정항목 | 분류 | dacSectorCode | 세부 분류,2026년 단면 비교,단위별 분리: USD · 건,데이터 상세 분석만 제공,요약 뒤 필터 가능한 카드·표,World Bank Projects / d-portal,true
D-023,국제협력·기후재원 사업,국제협력·기후재원 사업의 규모·금액·연도·분야 분포는 어떠한가,사업·재원 요약 대시보드,필터 가능한 개별 사업 목록,측정항목 | 분류 | 세부 분류 | financingType | fund | gcfProjectType | 부문 | status | targetCountry | targetRegion | 연도,2013–2026년 비연속 단면·분포 비교,단위별 분리: USD · 건,데이터 상세 분석만 제공,요약 뒤 필터 가능한 카드·표,World Bank Projects / d-portal,true
D-024,벤처·임팩트 투자,벤처·임팩트 투자의 규모·금액·연도·분야 분포는 어떠한가,사업·재원 요약 대시보드,필터 가능한 개별 사업 목록,측정항목 | 분류 | 연도,2024–2026년 비연속 단면·분포 비교,단위별 분리: USD · 개사 · 건,데이터 상세 분석만 제공,요약 뒤 필터 가능한 카드·표,World Bank Projects / d-portal,true
D-025,민간 인프라 투자,민간 인프라 투자의 규모·금액·연도·분야 분포는 어떠한가,사업·재원 요약 대시보드,필터 가능한 개별 사업 목록,측정항목 | capacity | 분류 | 세부 분류 | status | 기술,2024년 단면 비교,단위별 분리: USD · 건,데이터 상세 분석만 제공,요약 뒤 필터 가능한 카드·표,World Bank Projects / d-portal,true
D-026,정치적 위험 보증사업,정치적 위험 보증사업의 규모·금액·연도·분야 분포는 어떠한가,사업·재원 요약 대시보드,필터 가능한 개별 사업 목록,측정항목 | 세부 분류 | status,2018년 단면 비교,단위별 분리: USD · 건,데이터 상세 분석만 제공,요약 뒤 필터 가능한 카드·표,World Bank Projects / d-portal,true
E-001,CTCN 국가지정기구,CTCN 국가지정기구에서 어떤 기관과 연락망을 찾을 수 있는가,기관·연락망 탐색,필터 가능한 기관 목록,orgCategory,0년 단면 비교,해당없음 단일 축,데이터 상세 분석만 제공,검색 가능한 기관 카드·표,World Bank DataBank / World Development Indicators,true
E-002,파리협정 국가지정기관,파리협정 국가지정기관에서 어떤 기관과 연락망을 찾을 수 있는가,기관·연락망 탐색,필터 가능한 기관 목록,a64Status | recordStatus,0년 단면 비교,해당없음 단일 축,데이터 상세 분석만 제공,검색 가능한 기관 카드·표,World Bank DataBank / World Development Indicators,true
E-003,녹색기후기금 국가지정기관,녹색기후기금 국가지정기관에서 어떤 기관과 연락망을 찾을 수 있는가,기관·연락망 탐색,필터 가능한 기관 목록,role,0년 단면 비교,해당없음 단일 축,데이터 상세 분석만 제공,검색 가능한 기관 카드·표,World Bank DataBank / World Development Indicators,true
E-004,국제기구 현지사무소,국제기구 현지사무소에서 어떤 기관과 연락망을 찾을 수 있는가,기관·연락망 탐색,필터 가능한 기관 목록,city | collectionStatus | contactType | orgType | recordStatus,0년 단면 비교,해당없음 단일 축,데이터 상세 분석만 제공,검색 가능한 기관 카드·표,World Bank DataBank / World Development Indicators,true
E-005,대학·연구기관·시민사회,대학·연구기관·시민사회에서 어떤 기관과 연락망을 찾을 수 있는가,기관·연락망 탐색,필터 가능한 기관 목록,city | orgType,0년 단면 비교,기관(건) 단일 축,데이터 상세 분석만 제공,검색 가능한 기관 카드·표,World Bank DataBank / World Development Indicators,true
E-006,현지 투자자 네트워크,현지 투자자 네트워크에서 어떤 기관과 연락망을 찾을 수 있는가,기관·연락망 탐색,필터 가능한 기관 목록,amountStatus | amountType | city | collectionStatus | fundOrAffiliate | hqCountryIso3 | investSector | recordSourceType,0년 단면 비교,USD(백만) 단일 축,데이터 상세 분석만 제공,검색 가능한 기관 카드·표,World Bank DataBank / World Development Indicators,true
E-007,온실가스 산정·보고·검증 체계,온실가스 산정·보고·검증 체계의 핵심 값과 시간 변화는 어떠한가,상태·근거 매트릭스,접힌 원자료 표,측정항목 | 분류,2026년 단면 비교,단위별 분리: 제출 여부(제출/미제출) · 유무(Y/N) · 등급(Tier) · 건(제도·근거 문서),데이터 상세 분석만 제공,분석 뒤 접힌 개별 목록·원자료 표,World Bank DataBank / World Development Indicators,true
E-008,기후기술 논문·특허,기후기술 논문·특허의 핵심 값과 시간 변화는 어떠한가,논문·특허 연도별 추이,분야·협력구조 분해와 필터 목록,측정항목 | 세부 분류 | detail_2 | 연도,2024–2026년 비연속 단면·분포 비교,단위별 분리: 건 · 건/문헌 · 비율(0-1) · 위 · 지수,데이터 상세 분석만 제공,분석 뒤 접힌 개별 목록·원자료 표,WIPO IP Statistics Data Center,true
E-009,과학기술 인력,과학기술 인력의 핵심 값과 시간 변화는 어떠한가,핵심현황과 연도별 추이,접힌 원자료 표,측정항목 | 연도,2016–2023년 비연속 단면·분포 비교,단위별 분리: % · 명 · 명/백만명,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
E-010,연구개발·혁신 역량,연구개발·혁신 역량의 핵심 값과 시간 변화는 어떠한가,핵심 점수와 연도별 추이,접힌 원자료 표,측정항목 | 세부 분류 | 연도,2011–2025년 전체 추이와 기간 선택,단위별 분리: % · USD · 순위 · 점수,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
E-011,기술준비수준,기술준비수준의 현재 수집 상태는 무엇인가,상태와 향후 수집방향,없음,,2026년 단면 비교,등급 단일 축,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
E-012,기술인력과 임금,기술인력과 임금의 핵심 값과 시간 변화는 어떠한가,측정항목별 연도 추이,접힌 원자료 표,측정항목 | 통화 | 직군 | 성별 | 연도,2023–2024년 비연속 단면·분포 비교,단위별 분리: % · 천VND · 천명 · 백만명 · USD · VND,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
E-013,운영·유지보수 역량,운영·유지보수 역량의 현재 수집 상태는 무엇인가,상태와 향후 수집방향,없음,측정항목,2026년 단면 비교,단위별 분리: 유무(Y/N) · 구분(국내생산/수입의존) · 등급,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
E-014,기후·녹색성장 양자협정,기후·녹색성장 양자협정의 주요 제도 변화는 언제 발생했는가,정책 연표,접힌 원자료 표,agreementType | status,0년 단면 비교,건(협정) 단일 축,데이터 상세 분석만 제공,분석 뒤 접힌 개별 목록·원자료 표,World Bank DataBank / World Development Indicators,true
E-015,NDC 파트너십 참여,NDC 파트너십 참여의 핵심 값과 시간 변화는 어떠한가,상태·근거 매트릭스,접힌 원자료 표,,2026년 단면 비교,회원 여부(Y/N) 단일 축,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
E-016,한국 기후기술 성숙도,한국 기후기술 성숙도의 핵심 값과 시간 변화는 어떠한가,역량 항목별 점수판,접힌 원자료 표,referenceYear | 부문,0년 단면 비교,건(분야) 단일 축,데이터 상세 분석만 제공,분석 뒤 접힌 개별 목록·원자료 표,World Bank DataBank / World Development Indicators,true
E-017,한국 기후기술 비교우위,한국 기후기술 비교우위의 핵심 값과 시간 변화는 어떠한가,상태·근거 매트릭스,접힌 원자료 표,측정항목,2020년 단면 비교,단위별 분리: 위 · %,데이터 상세 분석만 제공,접힌 원자료 표,World Bank DataBank / World Development Indicators,true
E-018,한국 기업의 현지 진출,한국 기업의 현지 진출의 규모·금액·연도·분야 분포는 어떠한가,사업·재원 요약 대시보드,필터 가능한 개별 사업 목록,,0년 단면 비교,개사(기업) 단일 축,데이터 상세 분석만 제공,요약 뒤 필터 가능한 카드·표,World Bank Projects / d-portal,true
E-019,한국 기관 현지사무소,한국 기관 현지사무소에서 어떤 기관과 연락망을 찾을 수 있는가,기관·연락망 탐색,필터 가능한 기관 목록,city,0년 단면 비교,개소(사무소) 단일 축,데이터 상세 분석만 제공,검색 가능한 기관 카드·표,World Bank DataBank / World Development Indicators,true
