elementId,publicTitle,dataType,primaryRenderer,specializedRenderer,measureCount,dimensionCount,unitFamilies,explanationRequired,interpretationStatus,directionStatus,scaleStatus,benchmarkStatus,continuousTimeSeriesEligible,sameDenominatorAcrossSeries,sameMethodologyAcrossTime,sameGeographyAcrossTime,missingValuePolicy,mapLinked,mapAggregationLevel,tooltipStatus,publicCopyStatus,visualizationFitResult,finalDisposition
D-010,화석연료 보조금 규모,numeric,multi-metric-trend,,3,3,currency | percent,true,covered,covered,not-applicable,not-applicable,true,false,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
D-011,개도국 내 각국별 ODA 규모,numeric,technology-comparison,,1,4,currency,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
D-012,경쟁국 민간기업의 개도국 진출 현황,numeric | text,technology-comparison,,2,7,capacity | count,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
D-013,녹색성장지수,numeric,score-trend,,1,3,score,true,covered,covered,covered,group-scope-declared,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
D-014,대외경제협력기금 사업,numeric | text,portfolio-dashboard,,2,6,currency | text,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
D-015,한국 공적개발원조 사업,numeric | text,portfolio-dashboard,,2,6,currency | text,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
D-016,정부·지방자치단체 협력사업,numeric | text,portfolio-dashboard,,2,7,currency | text,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
D-017,한국 ODA 사업기획·입찰,numeric | text,portfolio-dashboard,,2,7,currency | text,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
D-018,적응기금 사업,numeric | text,portfolio-dashboard,,2,7,currency | text,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,true,시설·사업 위치,covered,approved,fit,accepted-public-analysis
D-019,CTCN 기술지원,numeric | text,portfolio-dashboard,,2,6,currency | text,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
D-020,녹색기후기금 사업,numeric | text,portfolio-dashboard,,3,10,count | currency | text,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
D-021,국제기구·개발은행 사업,numeric | text,portfolio-dashboard,,2,6,count | currency,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
D-022,개발금융·민관협력 투자사업,numeric | text,portfolio-dashboard,,2,6,currency | text,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
D-023,국제협력·기후재원 사업,numeric | text,portfolio-dashboard,,2,12,currency | text,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,true,시설·사업 위치,covered,approved,fit,accepted-public-analysis
D-024,벤처·임팩트 투자,numeric | text,portfolio-dashboard,,3,5,count | currency | text,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
D-025,민간 인프라 투자,numeric | text,portfolio-dashboard,,2,7,currency | text,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
D-026,정치적 위험 보증사업,numeric | text,portfolio-dashboard,,2,6,currency | text,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
E-001,CTCN 국가지정기구,text,directory,,1,2,text,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
E-002,파리협정 국가지정기관,text,directory,,1,3,text,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
E-003,녹색기후기금 국가지정기관,text,directory,,1,2,text,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
E-004,국제기구 현지사무소,text,directory,,1,6,text,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
E-005,대학·연구기관·시민사회,text,directory,,1,3,text,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
E-006,현지 투자자 네트워크,text,directory,,1,9,text,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
E-007,온실가스 산정·보고·검증 체계,boolean | text,evidence-matrix,,6,3,boolean | text,true,covered,covered,not-applicable,not-applicable,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
E-008,기후기술 논문·특허,numeric | text,multi-metric-trend,,5,6,count | other | text,true,covered,covered,not-applicable,group-scope-declared,true,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
E-009,과학기술 인력,numeric,kpi-trend,,6,1,count | percent,false,not-required,not-required,not-applicable,not-required,true,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
E-010,연구개발·혁신 역량,numeric,score-trend,,4,2,currency | other | percent | score,true,covered,covered,not-applicable,group-scope-declared,true,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit-with-caveat,accepted-with-explicit-comparability-caveat
E-011,기술준비수준,numeric,status-only,,1,2,other,true,covered,covered,not-applicable,not-applicable,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,status-only,accepted-status-explanation-without-fake-chart
E-012,기술인력과 임금,numeric,multi-metric-trend,OccupationEmploymentWagePreviewV125,8,5,count | currency-per-period | percent,false,not-required,not-required,not-applicable,not-required,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,specialized-required,accepted-specialized-public-analysis
E-013,운영·유지보수 역량,text,status-only,,5,2,text,true,covered,covered,not-applicable,not-applicable,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,status-only,accepted-status-explanation-without-fake-chart
E-014,기후·녹색성장 양자협정,text,policy-timeline,,1,3,text,true,covered,covered,not-applicable,not-applicable,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
E-015,NDC 파트너십 참여,boolean,evidence-matrix,,1,1,boolean,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
E-016,한국 기후기술 성숙도,text,capability-scorecard,,1,3,text,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
E-017,한국 기후기술 비교우위,numeric,evidence-matrix,,2,1,other | percent,true,covered,covered,not-applicable,group-scope-declared,false,true,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
E-018,한국 기업의 현지 진출,text,portfolio-dashboard,,1,1,text,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
E-019,한국 기관 현지사무소,text,directory,,1,2,text,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
E-020,한국의 공공·민간 지원제도,text,portfolio-dashboard,,2,2,text,false,not-required,not-required,not-applicable,not-required,false,,true,true,preserve-null-show-source-reason-never-impute-zero,false,,covered,approved,fit,accepted-public-analysis
