route,surface,userNeeds,before,decision,after,rationale,verification,editorialReview
C-021,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
C-022,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
C-023,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
C-024,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
C-025,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
D-001,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
D-002,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
D-003,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
D-004,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
D-005,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
D-006,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
D-007,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
D-008,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
D-009,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
D-010,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
D-011,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
D-012,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
D-013,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
D-014,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
D-015,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
D-016,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
D-017,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
D-018,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
D-019,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
D-020,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
D-021,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
D-023,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
D-024,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
D-026,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
E-001,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
E-002,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
E-003,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
E-004,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
E-005,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
E-006,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
E-007,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
E-008,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
E-009,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
E-010,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
E-011,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
E-012,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
E-013,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
E-014,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
E-015,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
E-016,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
E-017,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
E-018,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
E-019,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
E-020,detail,,,유지,,이번 회차에서 화면별 편집 검토를 하지 않음,"nested interactive control sweep (v136-4); term-help opens without navigating (v136-4); KPI wording + raw code sweep (v136-2, 1292 selector states); public copy / glossary / hierarchy gates (v134-v136)",NOT_REVIEWED
