token,locations,glossaryMatched,category,englishName,koreanName,tooltipRendered,approved,approvalReason,unwrappedLocations,unwrappedExamples
FAOSTAT,detail:B-029 | detail:B-030 | detail:B-032 | detail:B-035 | detail:B-036 | detail:B-037 | detail:B-038 | download | guide,true,organisation,FAO Statistical Database,FAO 통계 데이터베이스,true,true,registered public glossary term,,
FCPF,detail:C-024 | guide,true,development-finance,Forest Carbon Partnership Facility,산림탄소파트너십기금,true,true,registered public glossary term,,
FDI,guide,true,trade-investment,Foreign Direct Investment,외국인직접투자,true,true,registered public glossary term,,
FID,detail:A-025 | guide,true,trade-investment,Final Investment Decision,최종투자결정,true,true,registered public glossary term,,
FIP,detail:C-017 | guide,true,energy-technology,Feed-in Premium,발전 프리미엄 제도,true,true,registered public glossary term,,
FIT,guide,true,energy-technology,Feed-in Tariff,발전차액지원제도,true,true,registered public glossary term,,
FREL,detail:C-024 | guide,true,climate-policy,Forest Reference Emission Level,산림 기준배출수준,true,true,registered public glossary term,,
FRL,detail:C-024 | guide,true,climate-policy,Forest Reference Level,산림기준수준,true,true,registered public glossary term,,
FS,detail:E-020 | guide,true,trade-investment,Feasibility Study,타당성조사,true,true,registered public glossary term,,
FTA,detail:A-029 | detail:A-030 | guide,true,trade-investment,Free Trade Agreement,자유무역협정,true,true,registered public glossary term,,detail:A-029: 한·개도국 교역액 및 FTA 체결 현황 | detail:A-030: 한·개도국 교역액 및 FTA 체결 현황
G2B,detail:D-017 | download | guide,true,organisation,Government-to-Business e-Procurement System,국가종합전자조달시스템 나라장터,true,true,registered public glossary term,,
GCAP14444,detail:C-008,false,official-source-identifier,,,false,true,GCAP14444는 공개 원천의 사업·법령·자료·기간 식별자입니다. 출처 대조가 가능하도록 원문 코드를 유지하며 의미를 추정해 확장하지 않습니다.,,
GCAP24876,detail:C-008,false,official-source-identifier,,,false,true,GCAP24876는 공개 원천의 사업·법령·자료·기간 식별자입니다. 출처 대조가 가능하도록 원문 코드를 유지하며 의미를 추정해 확장하지 않습니다.,,
GCAP33138,detail:C-008,false,official-source-identifier,,,false,true,GCAP33138는 공개 원천의 사업·법령·자료·기간 식별자입니다. 출처 대조가 가능하도록 원문 코드를 유지하며 의미를 추정해 확장하지 않습니다.,,
GCAP33597,detail:C-008,false,official-source-identifier,,,false,true,GCAP33597는 공개 원천의 사업·법령·자료·기간 식별자입니다. 출처 대조가 가능하도록 원문 코드를 유지하며 의미를 추정해 확장하지 않습니다.,,
GCAP36510,detail:C-008,false,official-source-identifier,,,false,true,GCAP36510는 공개 원천의 사업·법령·자료·기간 식별자입니다. 출처 대조가 가능하도록 원문 코드를 유지하며 의미를 추정해 확장하지 않습니다.,,
GCAP36511,detail:C-008,false,official-source-identifier,,,false,true,GCAP36511는 공개 원천의 사업·법령·자료·기간 식별자입니다. 출처 대조가 가능하도록 원문 코드를 유지하며 의미를 추정해 확장하지 않습니다.,,
GCAP36512,detail:C-008,false,official-source-identifier,,,false,true,GCAP36512는 공개 원천의 사업·법령·자료·기간 식별자입니다. 출처 대조가 가능하도록 원문 코드를 유지하며 의미를 추정해 확장하지 않습니다.,,
GCAP36513,detail:C-008,false,official-source-identifier,,,false,true,GCAP36513는 공개 원천의 사업·법령·자료·기간 식별자입니다. 출처 대조가 가능하도록 원문 코드를 유지하며 의미를 추정해 확장하지 않습니다.,,
GCAP37657,detail:C-008,false,official-source-identifier,,,false,true,GCAP37657는 공개 원천의 사업·법령·자료·기간 식별자입니다. 출처 대조가 가능하도록 원문 코드를 유지하며 의미를 추정해 확장하지 않습니다.,,
GCAP47376,detail:C-008,false,official-source-identifier,,,false,true,GCAP47376는 공개 원천의 사업·법령·자료·기간 식별자입니다. 출처 대조가 가능하도록 원문 코드를 유지하며 의미를 추정해 확장하지 않습니다.,,
GCAP52881,detail:C-008,false,official-source-identifier,,,false,true,GCAP52881는 공개 원천의 사업·법령·자료·기간 식별자입니다. 출처 대조가 가능하도록 원문 코드를 유지하며 의미를 추정해 확장하지 않습니다.,,
GCAP532,detail:C-008,false,official-source-identifier,,,false,true,GCAP532는 공개 원천의 사업·법령·자료·기간 식별자입니다. 출처 대조가 가능하도록 원문 코드를 유지하며 의미를 추정해 확장하지 않습니다.,,
GCC,detail:C-025 | download | guide,true,organisation,Global Carbon Council,글로벌탄소위원회,true,true,registered public glossary term,,
GCF,detail:C-024 | detail:D-020 | detail:D-023 | detail:E-003 | download | guide,true,organisation,Green Climate Fund,녹색기후기금,true,true,registered public glossary term,,
GCF,guide,true,energy-technology,Accredited Entity,GCF 인증기구,true,true,registered public glossary term,,
GCF,guide,true,energy-technology,National Designated Authority,GCF 국가 지정기관,true,true,registered public glossary term,,
GCNMA-7,detail:C-007,false,official-source-identifier,,,false,true,GCNMA-7는 공개 원천의 사업·법령·자료·기간 식별자입니다. 출처 대조가 가능하도록 원문 코드를 유지하며 의미를 추정해 확장하지 않습니다.,,
GCNMA-8,detail:C-007,false,official-source-identifier,,,false,true,GCNMA-8는 공개 원천의 사업·법령·자료·기간 식별자입니다. 출처 대조가 가능하도록 원문 코드를 유지하며 의미를 추정해 확장하지 않습니다.,,
GDIS,detail:B-012 | guide,true,climate-risk,Geocoded Disasters dataset,지오코딩 재난 데이터셋,true,true,registered public glossary term,,
GDL,detail:B-021 | download | guide | map | map:active-gvi,true,organisation,Global Data Lab,글로벌데이터랩,true,true,registered public glossary term,,
GDL,guide,true,climate-risk,GDL Vulnerability Index,글로벌데이터랩 취약성지수,true,true,registered public glossary term,,
GDP,detail:A-003 | detail:A-009 | detail:B-014 | detail:B-018 | detail:B-022 | detail:C-001 | detail:C-002 | detail:C-003 | detail:D-009 | detail:D-010 | detail:E-010 | finder | guide | home,true,economy,Gross Domestic Product,국내총생산,true,true,registered public glossary term,,
GEF,detail:D-023 | detail:E-007 | download | finder | guide,true,organisation,Global Environment Facility,지구환경기금,true,true,registered public glossary term,,
GEO,detail:D-013 | guide,true,economy,Green Economic Opportunities,녹색경제 기회,true,true,registered public glossary term,,
GeoJSON,guide,true,data-format,Geographic JSON,지리공간 JSON 형식,true,true,registered public glossary term,,
GERD,detail:E-010 | guide,true,economy,Gross Domestic Expenditure on Research and Development,국내총 연구개발비,true,true,registered public glossary term,,
GFW,detail:B-031 | guide,true,organisation,Global Forest Watch,글로벌산림감시,true,true,registered public glossary term,,
GGGI,detail:D-013 | detail:E-004 | download | guide,true,organisation,Global Green Growth Institute,글로벌녹색성장기구,true,true,registered public glossary term,,
GGIS,detail:B-027 | guide,true,organisation,Global Groundwater Information System,세계 지하수 정보시스템,true,true,registered public glossary term,,
GHG,detail:A-009 | detail:A-010 | detail:A-011 | detail:A-012 | detail:C-002 | detail:C-009 | detail:C-020 | detail:C-021 | detail:C-022 | detail:C-023 | finder | guide | home,true,climate-policy,Greenhouse Gas,온실가스,true,true,registered public glossary term,,detail:A-009: GHG 배출 현황 | detail:A-010: GHG 배출 현황 | detail:A-011: GHG 배출 현황 | detail:A-012: GHG 배출 현황 | detail:C-020: GHG 감축 사업 타당성 검증 기초 정보 | detail:C-021: GHG 감축 사업 타당성 검증 기초 정보 | detail:C-022: GHG 감축 사업 타당성 검증 기초 정보 | detail:C-023: GHG 감축 사업 타당성 검증 기초 정보
GHI,guide,true,climate-risk,Global Horizontal Irradiance,수평면 전일사량,true,true,registered public glossary term,,
GII,guide,true,economy,Global Innovation Index,글로벌 혁신지수,true,true,registered public glossary term,,
GIS,detail:A-023 | detail:A-024 | detail:A-025 | detail:A-026 | detail:A-027 | detail:A-028 | finder | guide,true,data-format,Geographic Information System,지리정보시스템,true,true,registered public glossary term,,finder: 인프라 GIS 공간정보 | detail:A-023: 에너지·전력 GIS 공간정보 | detail:A-024: 에너지·전력 GIS 공간정보 | detail:A-025: 인프라 GIS 공간정보 | detail:A-026: 인프라 GIS 공간정보 | detail:A-027: 인프라 GIS 공간정보 | detail:A-028: 인프라 GIS 공간정보
GITCC,detail:E-020 | guide,true,organisation,Global Industrial Technology Cooperation Center,글로벌산업기술협력센터,true,true,registered public glossary term,,
GIZ,detail:E-004 | guide,true,organisation,Deutsche Gesellschaft für Internationale Zusammenarbeit,독일국제협력공사,true,true,registered public glossary term,,
GL,detail:E-007 | guide,true,climate-policy,IPCC Guidelines,IPCC 국가 온실가스 인벤토리 지침,true,true,registered public glossary term,,
GMS,detail:D-014 | detail:D-015 | detail:D-021 | guide,true,organisation,Greater Mekong Subregion,메콩강확대유역,true,true,registered public glossary term,,
GNI,guide,true,economy,Gross National Income,국민총소득,true,true,registered public glossary term,,
GRACE-FO,detail:B-027 | guide,true,climate-risk,Gravity Recovery and Climate Experiment Follow-On,중력장 복원·기후실험 후속위성,true,true,registered public glossary term,,
GRDC,detail:B-023 | detail:B-028 | download | finder | guide,true,organisation,Global Runoff Data Centre,세계유출자료센터,true,true,registered public glossary term,,
GS,detail:E-018,false,public-brand/literal-fragment,,,false,true,GS는 공개된 기관·회사·자료의 상표 또는 원문 명칭 조각입니다. 원천에 없는 확장 명칭을 만들지 않고 주변 공개 명칭과 함께 유지합니다.,,
GSO,detail:B-024 | detail:C-011 | detail:E-012 | guide,true,organisation,General Statistics Office of Viet Nam,베트남 통계총국,true,true,registered public glossary term,,
GVI,detail:B-021 | guide | map:active-gvi,true,climate-risk,GDL Vulnerability Index,글로벌데이터랩 취약성지수,true,true,registered public glossary term,,
GVI,guide,true,climate-risk,GVI Projections Database,GVI 전망 데이터베이스,true,true,registered public glossary term,,
GVIP,detail:B-021 | guide | map:active-gvi,true,climate-risk,GVI Projections Database,GVI 전망 데이터베이스,true,true,registered public glossary term,,
GW,detail:C-009 | guide,true,unit,Gigawatt,기가와트,true,true,registered public glossary term,,
GWh,detail:B-039 | guide,true,unit,Gigawatt-hour,기가와트시,true,true,registered public glossary term,,
GWh,guide,true,unit,Terawatt-hour,테라와트시,true,true,registered public glossary term,,
GWP,guide,true,climate-policy,Global Warming Potential,지구온난화지수,true,true,registered public glossary term,,
ha,detail:B-029 | detail:B-030 | detail:B-031 | detail:B-034 | detail:B-035 | detail:B-037 | detail:C-008 | guide,true,unit,Hectare,헥타르,true,true,registered public glossary term,,detail:B-029: 측정값(1000 ha) | detail:B-030: 측정값(ha) | detail:B-031: 측정값(ha) | detail:B-035: 측정값(ha/cap) | detail:B-037: 측정값(1000 ha)
ha/yr,detail:B-030 | detail:B-033 | guide,true,unit,Hectares per year,연간 헥타르,true,true,registered public glossary term,,detail:B-030: 산림 이득(ha/yr) 지역별 현황 | detail:B-033: 측정값(ha/yr)
HAZARD,detail:B-020,false,uppercase-source-wording,,,false,true,HAZARD는 공개 원문에서 대문자로 적힌 일반 영문 단어 또는 문구입니다. 표기 형태만 대문자일 뿐 약어가 아니므로 용어 풀이 대상에서 제외합니다.,,
HCM,detail:E-005,false,public-brand/literal-fragment,,,false,true,HCM는 공개된 기관·회사·자료의 상표 또는 원문 명칭 조각입니다. 원천에 없는 확장 명칭을 만들지 않고 주변 공개 명칭과 함께 유지합니다.,,
HCMC,detail:D-026 | detail:E-008 | guide,true,organisation,Ho Chi Minh City,호찌민시,true,true,registered public glossary term,,
HCMUT,detail:E-008 | guide,true,organisation,Ho Chi Minh City University of Technology,호찌민시 공과대학교,true,true,registered public glossary term,,
HDI,guide,true,economy,Human Development Index,인간개발지수,true,true,registered public glossary term,,
HDR,detail:B-040 | guide,true,energy-technology,Hot Dry Rock,고온건조암,true,true,registered public glossary term,,
HESS,detail:B-023 | detail:B-028 | finder | guide,true,organisation,Hydrology and Earth System Sciences,수문학·지구시스템과학 학술지,true,true,registered public glossary term,,
HFCs,detail:C-002 | guide,true,climate-policy,Hydrofluorocarbons,수소불화탄소,true,true,registered public glossary term,,
HI35,guide,true,climate-risk,Heat Index ≥ 35°C,고온체감지수 35°C 이상 일수,true,true,registered public glossary term,,
HNX,detail:B-015 | detail:C-019 | detail:E-007 | guide,true,organisation,Hanoi Stock Exchange,하노이증권거래소,true,true,registered public glossary term,,
HUST,detail:E-001 | guide,true,organisation,Hanoi University of Science and Technology,하노이과학기술대학교,true,true,registered public glossary term,,
IAE,detail:E-001 | guide,true,organisation,Institute for Agricultural Environment,농업환경연구소,true,true,registered public glossary term,,
IATI,detail:D-021 | detail:D-022 | download | finder | guide,true,organisation,International Aid Transparency Initiative,국제원조투명성이니셔티브,true,true,registered public glossary term,,
IBRD,guide,true,organisation,International Bank for Reconstruction and Development,국제부흥개발은행,true,true,registered public glossary term,,
ICAP,detail:C-006 | detail:C-009 | detail:C-019 | detail:C-022 | download | guide,true,organisation,International Carbon Action Partnership,국제탄소행동파트너십,true,true,registered public glossary term,,
ICT,guide,true,energy-technology,Information and Communications Technology,정보통신기술,true,true,registered public glossary term,,
IDA,guide,true,development-finance,International Development Association,국제개발협회,true,true,registered public glossary term,,
IDA,detail:A-002 | guide,true,economy,IDA Resource Allocation Index,IDA 자원배분지수,true,true,registered public glossary term,,
IE/IEVN,detail:E-005 | guide,true,organisation,Institute of Energy of Viet Nam,베트남 에너지연구원,true,true,registered public glossary term,,
IEA,detail:A-010 | detail:B-016 | guide,true,organisation,International Energy Agency,국제에너지기구,true,true,registered public glossary term,,
IEEFA,detail:D-010 | detail:D-012 | download | finder | guide,true,organisation,Institute for Energy Economics and Financial Analysis,에너지경제·재무분석연구소,true,true,registered public glossary term,,
IFAD,detail:D-020 | detail:D-021 | detail:D-023 | finder | guide,true,organisation,International Fund for Agricultural Development,국제농업개발기금,true,true,registered public glossary term,,
IFC,detail:D-021 | detail:D-022 | detail:E-004 | detail:E-006 | download | finder | guide,true,organisation,International Finance Corporation,국제금융공사,true,true,registered public glossary term,,
IFIA,detail:D-018 | detail:D-023 | guide,true,development-finance,Innovative Financial Incentives for Adaptation,적응을 위한 혁신적 금융 인센티브 사업,true,true,registered public glossary term,,
IGRAC,detail:B-027 | guide,true,organisation,International Groundwater Resources Assessment Centre,국제지하수자원평가센터,true,true,registered public glossary term,,
IHA,detail:B-039 | guide,true,organisation,International Hydropower Association,국제수력발전협회,true,true,registered public glossary term,,
II,detail:C-016,false,public-geographic/document-fragment,,,false,true,II는 공개 원문의 방향·행정단위·문서 구분 표기입니다. 사용자 문맥에 이미 풀어쓴 설명이 있어 원문 식별 표기를 유지합니다.,,
IIASA,detail:B-018 | detail:B-019 | download | guide,true,organisation,International Institute for Applied Systems Analysis,국제응용시스템분석연구소,true,true,registered public glossary term,,
III,detail:E-007,false,public-geographic/document-fragment,,,false,true,III는 공개 원문의 방향·행정단위·문서 구분 표기입니다. 사용자 문맥에 이미 풀어쓴 설명이 있어 원문 식별 표기를 유지합니다.,,
ILO,detail:A-006 | detail:D-021 | detail:E-012 | finder | guide,true,organisation,International Labour Organization,국제노동기구,true,true,registered public glossary term,,
ILO,guide,true,organisation,ILO Department of Statistics database,국제노동기구 통계 데이터베이스,true,true,registered public glossary term,,
ILOSTAT,detail:E-012 | download | guide,true,organisation,ILO Department of Statistics database,국제노동기구 통계 데이터베이스,true,true,registered public glossary term,,
IMF,detail:D-010 | guide,true,organisation,International Monetary Fund,국제통화기금,true,true,registered public glossary term,,
IMHEN,detail:E-001 | detail:E-005 | guide,true,organisation,"Viet Nam Institute of Meteorology, Hydrology and Climate Change",베트남 기상수문기후변화연구원,true,true,registered public glossary term,,
INCOM,detail:C-006 | detail:C-009 | detail:C-010 | detail:C-012 | detail:C-013 | detail:C-014 | detail:C-015 | detail:C-016 | detail:C-017 | detail:C-018,false,public-brand/literal-fragment,,,false,true,INCOM는 공개된 기관·회사·자료의 상표 또는 원문 명칭 조각입니다. 원천에 없는 확장 명칭을 만들지 않고 주변 공개 명칭과 함께 유지합니다.,,
INDC,guide,true,climate-policy,Intended Nationally Determined Contribution,자발적 국가결정기여,true,true,registered public glossary term,,
INFORM,detail:B-020 | download | guide,true,climate-risk,Index for Risk Management,위기관리 위험지수,true,true,registered public glossary term,,
INTL,detail:B-038 | detail:B-039 | detail:B-040 | detail:B-043,false,official-source-identifier,,,false,true,INTL는 공개 원천의 사업·법령·자료·기간 식별자입니다. 출처 대조가 가능하도록 원문 코드를 유지하며 의미를 추정해 확장하지 않습니다.,,
IOM,guide,true,organisation,International Organization for Migration,국제이주기구,true,true,registered public glossary term,,
IP,detail:C-001 | guide,true,climate-policy,Industrial Processes,산업공정,true,true,registered public glossary term,,
IP,detail:E-008 | guide,true,economy,Intellectual Property,지식재산,true,true,registered public glossary term,,
IPCC,detail:B-008 | detail:E-007 | download | guide,true,organisation,Intergovernmental Panel on Climate Change,기후변화에 관한 정부 간 협의체,true,true,registered public glossary term,,
IPCC,detail:B-008 | guide,true,climate-policy,IPCC Sixth Assessment Report,IPCC 제6차 평가보고서,true,true,registered public glossary term,,
IPCC,guide,true,climate-policy,IPCC Guidelines,IPCC 국가 온실가스 인벤토리 지침,true,true,registered public glossary term,,
IPPU,detail:A-011 | detail:C-002 | detail:C-004 | detail:E-007 | guide,true,climate-policy,Industrial Processes and Product Use,산업공정·제품사용,true,true,registered public glossary term,,detail:A-011: 산업공정(IPPU)
IRAI,detail:A-002 | guide,true,economy,IDA Resource Allocation Index,IDA 자원배분지수,true,true,registered public glossary term,,detail:A-002: IRAI 종합
IRENA,detail:A-018 | detail:A-020 | detail:B-038 | detail:B-040 | detail:C-015 | detail:E-004 | download | guide,true,organisation,International Renewable Energy Agency,국제재생에너지기구,true,true,registered public glossary term,,
IRENA,guide,true,organisation,IRENA Statistics,국제재생에너지기구 통계,true,true,registered public glossary term,,
IRENASTAT,detail:C-015 | guide,true,organisation,IRENA Statistics,국제재생에너지기구 통계,true,true,registered public glossary term,,
IRWR,detail:B-028 | guide,true,climate-risk,Internal Renewable Water Resources,국내 재생가능 수자원,true,true,registered public glossary term,,
ISFL,detail:C-024 | guide,true,development-finance,Initiative for Sustainable Forest Landscapes,지속가능한 산림경관 이니셔티브,true,true,registered public glossary term,,
ISO,detail:E-007,false,allowlist,,,false,true,standards identifier,,
ISTEE,detail:E-005 | guide,true,organisation,Institute of Science and Technology for Energy and Environment,에너지·환경 과학기술연구소,true,true,registered public glossary term,,
ITMO,guide,true,climate-policy,Internationally Transferred Mitigation Outcomes,국제이전 감축성과,true,true,registered public glossary term,,
JCM,guide,true,climate-policy,Joint Crediting Mechanism,공동크레딧메커니즘,true,true,registered public glossary term,,
JETP,guide,true,development-finance,Just Energy Transition Partnership,공정에너지전환파트너십,true,true,registered public glossary term,,
JICA,detail:D-020 | detail:D-023 | detail:E-004 | guide,true,organisation,Japan International Cooperation Agency,일본국제협력기구,true,true,registered public glossary term,,
JRC,detail:A-009 | detail:A-010 | detail:A-011 | detail:A-012 | detail:B-020 | download | guide | home,true,organisation,Joint Research Centre,유럽연합 공동연구센터,true,true,registered public glossary term,,
JSC,detail:D-025 | detail:E-001 | guide,true,trade-investment,Joint Stock Company,주식회사,true,true,registered public glossary term,,
JSON,download | guide,true,data-format,JavaScript Object Notation,자바스크립트 객체 표기법,true,true,registered public glossary term,,download: JSON
JSON,guide,true,data-format,Geographic JSON,지리공간 JSON 형식,true,true,registered public glossary term,,
JWG,detail:E-014 | guide,true,organisation,Joint Working Group,공동작업반,true,true,registered public glossary term,,
KDB,detail:D-020 | detail:D-023 | guide,true,organisation,Korea Development Bank,한국산업은행,true,true,registered public glossary term,,
KEITI,detail:E-019 | detail:E-020 | download | guide,true,organisation,Korea Environmental Industry & Technology Institute,한국환경산업기술원,true,true,registered public glossary term,,
KEPCO,detail:E-019 | guide,true,organisation,Korea Electric Power Corporation,한국전력공사,true,true,registered public glossary term,,
KIAT,detail:E-020 | download | guide,true,organisation,Korea Institute for Advancement of Technology,한국산업기술진흥원,true,true,registered public glossary term,,
KITA,detail:A-030 | detail:E-019 | guide,true,organisation,Korea International Trade Association,한국무역협회,true,true,registered public glossary term,,
KOICA,detail:D-014 | detail:D-015 | detail:D-016 | detail:D-017 | detail:E-019 | detail:E-020 | download | guide,true,organisation,Korea International Cooperation Agency,한국국제협력단,true,true,registered public glossary term,,
KOTRA,detail:E-019 | detail:E-020 | download | guide,true,organisation,Korea Trade-Investment Promotion Agency,대한무역투자진흥공사,true,true,registered public glossary term,,
ktCO₂e,detail:C-002 | guide,true,unit,Kilotonne of carbon dioxide equivalent,천 톤 이산화탄소환산량,true,true,registered public glossary term,,
KTH,detail:A-023,false,public-brand/literal-fragment,,,false,true,KTH는 공개된 기관·회사·자료의 상표 또는 원문 명칭 조각입니다. 원천에 없는 확장 명칭을 만들지 않고 주변 공개 명칭과 함께 유지합니다.,,
kV,detail:A-024 | guide,true,unit,Kilovolt,킬로볼트,true,true,registered public glossary term,,
kWh,guide,true,unit,Gigawatt-hour,기가와트시,true,true,registered public glossary term,,
kWh,detail:B-004 | detail:B-039 | detail:B-040 | detail:B-041 | detail:C-004 | detail:C-017 | detail:C-018 | detail:C-019 | guide,true,unit,Kilowatt-hour,킬로와트시,true,true,registered public glossary term,,
kWh,guide,true,unit,Terawatt-hour,테라와트시,true,true,registered public glossary term,,
LACK,detail:B-020,false,uppercase-source-wording,,,false,true,LACK는 공개 원문에서 대문자로 적힌 일반 영문 단어 또는 문구입니다. 표기 형태만 대문자일 뿐 약어가 아니므로 용어 풀이 대상에서 제외합니다.,,
LC,detail:B-029 | detail:B-036 | detail:B-037 | download | guide,true,climate-risk,Land Cover,토지피복,true,true,registered public glossary term,,
LCOE,detail:A-017 | guide,true,energy-technology,Levelized Cost of Electricity,균등화 발전비용,true,true,registered public glossary term,,
LLC,detail:D-026,false,public-brand/literal-fragment,,,false,true,LLC는 공개된 기관·회사·자료의 상표 또는 원문 명칭 조각입니다. 원천에 없는 확장 명칭을 만들지 않고 주변 공개 명칭과 함께 유지합니다.,,
LNG,detail:E-018 | guide,true,energy-technology,Liquefied Natural Gas,액화천연가스,true,true,registered public glossary term,,
LPI,detail:A-031 | guide,true,economy,Logistics Performance Index,물류성과지수,true,true,registered public glossary term,,
LS,detail:E-018,false,public-brand/literal-fragment,,,false,true,LS는 공개된 기관·회사·자료의 상표 또는 원문 명칭 조각입니다. 원천에 없는 확장 명칭을 만들지 않고 주변 공개 명칭과 함께 유지합니다.,,
LSCI,detail:A-033 | guide,true,economy,Liner Shipping Connectivity Index,정기선 해운연결성지수,true,true,registered public glossary term,,
LT-LEDS,detail:C-004 | guide,true,energy-technology,Long-Term Low Emission Development Strategy,장기 저탄소 발전전략,true,true,registered public glossary term,,detail:C-004: LT-LEDS (장기 저탄소 발전 전략)
LULUCF,detail:A-012 | detail:B-035 | detail:C-001 | detail:C-005 | detail:E-007 | download | finder | guide,true,climate-policy,"Land Use, Land-Use Change and Forestry",토지이용·토지이용변화·산림,true,true,registered public glossary term,,detail:B-035: LULUCF 관련 면적 변화 지역별 현황
MAC,guide,true,trade-investment,Marginal Abatement Cost,한계저감비용,true,true,registered public glossary term,,
MAE,detail:C-003 | detail:C-024 | detail:E-002 | detail:E-007 | download | finder | guide,true,organisation,Ministry of Agriculture and Environment of Viet Nam,베트남 농업환경부,true,true,registered public glossary term,,
MAIFI,detail:A-022 | guide,true,energy-technology,Momentary Average Interruption Frequency Index,고객당 평균 순간정전 빈도지수,true,true,registered public glossary term,,
MARD,detail:D-008 | guide,true,organisation,Ministry of Agriculture and Rural Development of Viet Nam,베트남 농업농촌개발부,true,true,registered public glossary term,,
MDB,detail:D-021 | detail:D-022 | download | finder | guide,true,development-finance,Multilateral Development Bank,다자개발은행,true,true,registered public glossary term,,
MDPI,detail:E-008 | download | guide,true,organisation,MDPI academic publisher,MDPI 학술출판사,true,true,registered public glossary term,,
MERF,detail:D-020 | detail:D-023 | guide,true,development-finance,Mekong Earth Regeneration Fund,메콩 지구재생기금,true,true,registered public glossary term,,
MIE,detail:D-018 | detail:D-023 | guide,true,development-finance,Multilateral Implementing Entity,다자이행기구,true,true,registered public glossary term,,
MIGA,detail:D-026 | download | guide,true,development-finance,Multilateral Investment Guarantee Agency,다자간투자보증기구,true,true,registered public glossary term,,detail:D-026: MIGA 정치적 리스크 보증 정보
MODIS,detail:B-029 | detail:B-036 | detail:B-037 | guide,true,climate-risk,Moderate Resolution Imaging Spectroradiometer,중해상도 영상분광복사계,true,true,registered public glossary term,,
MOF,detail:E-003 | guide,true,organisation,Ministry of Finance of Viet Nam,베트남 재무부,true,true,registered public glossary term,,
MOFA,detail:E-014 | download | guide,true,organisation,Ministry of Foreign Affairs,외교부,true,true,registered public glossary term,,
MOIT,detail:B-040 | detail:C-015 | detail:C-016 | detail:C-017 | detail:C-018 | detail:E-005 | guide,true,organisation,Ministry of Industry and Trade of Viet Nam,베트남 산업무역부,true,true,registered public glossary term,,
MONRE,detail:B-025 | detail:B-028 | detail:C-001 | detail:C-002 | detail:C-005 | detail:E-001 | download | finder | guide,true,organisation,Ministry of Natural Resources and Environment of Viet Nam,베트남 천연자원환경부,true,true,registered public glossary term,,
MOT,detail:D-008 | guide,true,organisation,Ministry of Transport of Viet Nam,베트남 교통부,true,true,registered public glossary term,,
MOU,detail:E-018 | guide,true,trade-investment,Memorandum of Understanding,양해각서,true,true,registered public glossary term,,
MPI,detail:D-005 | detail:D-007 | detail:D-008 | detail:D-009 | download | finder | guide,true,organisation,Ministry of Planning and Investment of Viet Nam,베트남 기획투자부,true,true,registered public glossary term,,
MPI,guide,true,economy,Multidimensional Poverty Index,다차원빈곤지수,true,true,registered public glossary term,,
MRC,detail:B-023 | detail:B-028 | guide,true,organisation,Mekong River Commission,메콩강위원회,true,true,registered public glossary term,,
MRDS,detail:B-048 | download | guide,true,organisation,Mineral Resources Data System,광물자원 데이터시스템,true,true,registered public glossary term,,
MRV,detail:E-007 | guide,true,climate-policy,"Measurement, Reporting and Verification",측정·보고·검증,true,true,registered public glossary term,,detail:E-007: 온실가스 산정 MRV 체계
MSCI,detail:D-004 | download | guide,true,organisation,MSCI Inc.,글로벌 금융지수·데이터 제공기관,true,true,registered public glossary term,,
MtCO₂e,detail:C-001 | detail:C-004 | detail:C-009 | detail:C-019 | detail:C-022 | detail:C-024 | detail:E-007 | guide,true,unit,Million tonnes of carbon dioxide equivalent,백만 톤 이산화탄소환산량,true,true,registered public glossary term,,
Mtoe,guide,true,unit,Million tonnes of oil equivalent,백만 톤 석유환산량,true,true,registered public glossary term,,
MW,guide,true,unit,Gigawatt,기가와트,true,true,registered public glossary term,,
MW,detail:A-018 | detail:A-023 | detail:B-038 | detail:B-039 | detail:B-040 | detail:C-009 | detail:C-016 | detail:C-018 | detail:D-003 | detail:D-012 | guide,true,unit,Megawatt,메가와트,true,true,registered public glossary term,,"detail:A-018: 발전 설비용량(MW) | detail:A-018: 50,604.39 MW | detail:A-018: 36,995.27 MW | detail:A-018: 36,918 MW | detail:A-018: 28,100 MW | detail:A-018: 24,640 MW | detail:A-018: 19,247.85 MW | detail:A-018: 7,527 MW | detail:A-018: 6,232.8 MW | detail:A-018: 5,129.3 MW | detail:A-018: 1,291 MW | detail:A-018: 1,103.5 MW"
N₂O,detail:A-010 | detail:A-011 | detail:C-002 | guide,true,climate-policy,Nitrous oxide,아산화질소,true,true,registered public glossary term,,detail:A-010: 아산화질소(N₂O 환산) | detail:A-011: 기타(간접 N2O)
NAMA,guide,true,climate-policy,Nationally Appropriate Mitigation Action,국가적정감축행동,true,true,registered public glossary term,,
NAP,detail:C-003 | download | finder | guide,true,climate-policy,National Adaptation Plan,국가적응계획,true,true,registered public glossary term,,finder: NAP (국가 적응 계획) | detail:C-003: NAP (국가 적응 계획) | detail:C-003: 국가적응계획(NAP) 항목별 현황
NASA,detail:B-008 | detail:B-012 | detail:B-027 | download | guide,true,organisation,National Aeronautics and Space Administration,미국 항공우주국,true,true,registered public glossary term,,
NASA,guide,true,climate-risk,Moderate Resolution Imaging Spectroradiometer,중해상도 영상분광복사계,true,true,registered public glossary term,,
